pair,mean,std,count
baseline_eyes_closed-task3_real_both_feet,4.964720139747617,14.972749431427356,108
baseline_eyes_open-task3_real_both_feet,4.334687045300023,9.863805616531952,108
baseline_eyes_closed-task3_real_both_fists,3.9277208787767557,11.391559175317816,108
baseline_eyes_closed-task2_imag_right_fist,3.432408102396449,10.824157597268217,108
baseline_eyes_open-task4_imag_both_feet,3.395167536004069,11.883495945990607,108
baseline_eyes_closed-task4_imag_both_fists,3.173991086839346,9.626309397507038,108
baseline_eyes_closed-task4_imag_both_feet,3.1246765282559257,9.283501001284208,108
baseline_eyes_closed-task2_imag_left_fist,3.1095106866639735,8.947937816341675,108
baseline_eyes_closed-task1_real_right_fist,3.025652037676627,5.884073117739825,108
baseline_eyes_open-task4_imag_both_fists,2.99750895775377,8.033078284547784,108
baseline_eyes_closed-task1_real_left_fist,2.8330366416256623,5.878661735794592,108
baseline_eyes_open-task3_real_both_fists,2.7917015659928524,3.370547681564669,108
baseline_eyes_open-task1_real_right_fist,2.448475075182446,1.6432569949144071,108
baseline_eyes_open-task2_imag_right_fist,2.3625354449140876,1.8721809225807042,108
baseline_eyes_open-task1_real_left_fist,2.3242538266408066,1.4566202136999409,108
baseline_eyes_open-task2_imag_left_fist,2.2746640054775082,1.609859238998789,108
task2_imag_right_fist-task3_real_both_feet,2.1932618273584175,5.122754710667968,109
task2_imag_left_fist-task3_real_both_feet,2.1463020028504323,4.2595272104657145,109
baseline_eyes_closed-baseline_eyes_open,1.9935949016912087,2.993504036505222,108
task3_real_both_fists-task4_imag_both_feet,1.9922937293309906,9.102935931113521,109
task1_real_left_fist-task3_real_both_feet,1.9360866671402697,3.472598684347886,109
task3_real_both_fists-task4_imag_both_fists,1.6986303721213105,6.143916206457304,109
task1_real_right_fist-task3_real_both_feet,1.620172037509055,1.9261859521881552,109
task1_real_left_fist-task4_imag_both_feet,1.5526415233727455,4.40525819543516,109
task1_real_right_fist-task4_imag_both_feet,1.538811166287841,4.131746123866388,109
task2_imag_left_fist-task3_real_both_fists,1.4377575933442157,1.4643740070610067,109
task1_real_left_fist-task4_imag_both_fists,1.4268378063266487,2.976710461683412,109
task1_real_right_fist-task4_imag_both_fists,1.4217540138329336,2.793952041459143,109
task2_imag_right_fist-task3_real_both_fists,1.412532873186825,1.6973663619048371,109
task2_imag_left_fist-task4_imag_both_feet,1.388653587187518,2.583197796280802,109
task2_imag_right_fist-task4_imag_both_feet,1.3571526638440143,3.0262568454453365,109
task2_imag_left_fist-task4_imag_both_fists,1.2958377331968158,1.7448403550793465,109
task2_imag_right_fist-task4_imag_both_fists,1.2744806262297292,2.0506327063649503,109
task1_real_left_fist-task3_real_both_fists,1.2250234194489042,0.6923323569777527,109
task3_real_both_feet-task4_imag_both_fists,1.2165613326908113,0.5053206638464011,109
task3_real_both_feet-task4_imag_both_feet,1.188071733594202,0.6413126064038113,109
task1_real_right_fist-task2_imag_right_fist,1.1824107161920556,0.9646760999832208,109
task1_real_left_fist-task2_imag_right_fist,1.1760578055228241,0.7545792606999139,109
task1_real_right_fist-task3_real_both_fists,1.1736222241418213,0.47815088590222654,109
task1_real_right_fist-task2_imag_left_fist,1.157254012054089,0.8933800316976833,109
task3_real_both_feet-task3_real_both_fists,1.152886258061895,0.4303757589796095,109
task1_real_left_fist-task2_imag_left_fist,1.1276035284530315,0.7114814261716079,109
task4_imag_both_feet-task4_imag_both_fists,1.1171286910378995,0.3962442701481816,109
task2_imag_left_fist-task2_imag_right_fist,1.0769334377447395,0.2881387009114293,109
task1_real_left_fist-task1_real_right_fist,1.0652248715001158,0.34033463824065796,109
